player,champion,mastery,total_games_played,win_rate,kda_ratio,average_gold_per_minute,average_cs_per_minute
"Player(name='innervision', tag='EUNE')",varus,2273,1,0.0,2.1667,470.5,6.1
"Player(name='Mikrus1991', tag='EUNE')",lux,408630,32,0.594,3.2,339.5,1.4
"Player(name='RONALDlNHO%20JR', tag='4945')",irelia,162721,2,0.5,1.1333,476.0,8.8
"Player(name='Thedodi', tag='2005')",lillia,105278,10,0.9,3.8125,419.4,6.8
"Player(name='Liman%20Jr', tag='EUNE')",talon,65769,28,0.5,3.3265,432.8,6.8
"Player(name='The%20desert', tag='rose')",nilah,34336,16,0.563,1.7952,435.8,6.1
"Player(name='EGF%20Mom%C3%A2ie', tag='EUNE')",lulu,12510,1,1.0,3.7143,323.7,0.8
"Player(name='KristianGeorge', tag='EUNE')",darius,162578,1,0.0,0.6667,344.1,7.6
"Player(name='nah%20fam', tag='EUNE')",nocturne,15261,10,0.5,2.9423,422.3,5.9
"Player(name='typrestaaan', tag='EUNE')",vladimir,34628,5,0.4,2.5417,388.1,6.5
"Player(name='Crime%20Pays', tag='BCC')",draven,206817,18,0.5,1.5281,447.6,6.4
"Player(name='GrecoBelge', tag='BCC')",braum,66863,12,0.583,3.3651,288.4,1.1
"Player(name='po%C5%82%20po%C5%82', tag='EUNE')",malphite,26409,1,1.0,4.4,383.1,5.5
"Player(name='DeViLGAMER', tag='EUNE')",vi,132769,21,0.7140000000000001,2.2222,429.3,5.9
"Player(name='ADAXLOS', tag='EUNE')",lissandra,526600,71,0.521,2.2237,424.4,6.5
"Player(name='Paulinka%20TFT', tag='META')",missfortune,29598,2,0.5,2.8333,469.3,6.8
"Player(name='his%20darling', tag='loml')",morgana,410199,3,0.667,2.7125,307.9,1.4
"Player(name='Fizz', tag='1234')",yasuo,161118,1,0.0,2.2857,453.5,7.5
"Player(name='Wszawcia', tag='Aresu')",nocturne,10622,3,0.667,3.717,400.1,5.0
"Player(name='matteu', tag='9614')",malzahar,1159,1,0.0,1.0,313.8,5.4
"Player(name='erik36', tag='EUNE')",kaisa,264896,1,0.0,3.5,496.9,7.4
"Player(name='ArielYum', tag='TFT')",thresh,63820,10,0.3,1.9429,263.7,1.0
"Player(name='ogataaa', tag='EUNE')",karma,36803,8,0.625,2.1803,345.4,5.2
"Player(name='LeKappaLeKeepo', tag='EUNE')",rammus,70882,58,0.621,3.8636,372.9,5.3
"Player(name='isildur19', tag='EUNE')",sylas,1276622,147,0.5579999999999999,2.0811,398.2,5.3
"Player(name='Paulinka%20TFT', tag='META')",vayne,189114,1,1.0,1.4444,400.4,5.4
"Player(name='his%20darling', tag='loml')",morgana,410199,3,0.667,2.7125,307.9,1.4
"Player(name='Rolling%20Monkey', tag='EUNE')",poppy,29486,3,0.33299999999999996,2.1857,360.1,5.1
"Player(name='rizzotto360', tag='rizo')",volibear,246762,30,0.633,2.4808,404.9,5.7
"Player(name='PA%C5%A4O', tag='EUNE')",rengar,8297,1,1.0,1.8,506.5,7.2
"Player(name='Vulcaan', tag='EUNE')",twistedfate,58220,4,0.75,1.5422,409.7,5.4
"Player(name='%C3%AD%C3%AD%C3%AD%C3%AD%C3%AD%C3%AD', tag='EUNE')",twitch,27543,3,1.0,2.908,467.7,5.8
"Player(name='Poulaw%20Santouits', tag='EUNE')",leona,90633,2,1.0,3.5833,344.9,1.7
"Player(name='WowYoMC', tag='EUNE')",trundle,10669,2,0.5,1.0,384.8,6.5
"Player(name='Warhonko', tag='EUNE')",warwick,382314,19,0.526,2.4714,402.4,5.1
"Player(name='H%C3%A2d%C3%ABs', tag='EUNE')",azir,187090,12,0.667,3.2642,483.3,7.5
"Player(name='ajkula5', tag='EUNE')",missfortune,220746,33,0.606,2.661,469.8,6.9
"Player(name='ShangTsung', tag='EUNE')",nami,1036879,13,0.308,2.4844,285.4,0.6
"Player(name='S%C3%AArgh%C3%AAi%20Mizil', tag='EUNE')",darius,30463,1,1.0,1.375,365.5,5.5
"Player(name='PA%C5%A4O', tag='EUNE')",jax,5920,1,1.0,6.5,433.1,6.9
"Player(name='DenisG2', tag='EUNE')",katarina,7015,3,0.667,3.0448,452.8,5.1
"Player(name='Antrus', tag='666')",xayah,70247,5,0.8,2.8065,445.5,7.0
"Player(name='L9%20Chil%20Alblax', tag='NOBLK')",rakan,175741,12,0.75,4.2292,278.9,0.8
"Player(name='BONUS', tag='RPK')",kennen,41181,1,0.0,3.0,374.2,5.1
"Player(name='Luvri', tag='EUNE')",trundle,50353,1,0.0,1.5,358.8,6.4
"Player(name='parmezano', tag='EUNE')",lux,367920,1,0.0,2.6667,462.9,7.6
"Player(name='Jordskalv', tag='EUNE')",gnar,99372,35,0.429,1.9434,422.5,6.9
"Player(name='JasiuuTorpeda', tag='%C5%9A%C4%86%C3%93R')",soraka,18822,7,0.429,3.3333,275.7,1.0
"Player(name='hArdOnAkAli', tag='1312')",akali,360996,16,0.875,3.8043,473.9,6.3
"Player(name='PA%C5%A4O', tag='EUNE')",belveth,3492,4,1.0,2.96,470.8,7.2
"Player(name='jauggernaut', tag='EUNE')",pantheon,53882,1,1.0,2.875,532.8,4.8
"Player(name='JHIN%20SAMAA%20', tag='EUNE')",jhin,516044,12,0.5,2.661,430.7,6.4
