date,player_name,player_tag
2024/01/19 12:34:22,oKyriosThaSeFaw,EUNE
2024/01/19 12:34:22,Pr%C3%B8xy%20then%20Feed,EUNE
2024/01/19 12:34:22,MrPrezes07l,EUNE
2024/01/19 12:34:22,N4T4N,EUNE
2024/01/19 12:34:22,stawaj,EUNE
2024/01/19 12:34:22,ciprianis,EUNE
2024/01/19 12:34:22,Walter%20Black,EUNE
2024/01/19 12:34:22,gokah,EUNE
2024/01/19 12:34:22,Myrish%20Swamp,EUNE
2024/01/19 12:34:22,xLum1nous,EUNE
2024/01/19 12:34:22,i%20mean%2020%20is%2020,2137
2024/01/19 12:34:22,Zeo,Error
2024/01/19 12:34:22,MrPixar123,EUNE
2024/01/19 12:34:22,blustering%20wings,EUNE
2024/01/19 12:34:22,Repaired%20Blade,EUNE
2024/01/19 12:34:22,Tyby10,EUNE
2024/01/19 12:34:22,Sirolius,EUNE
2024/01/19 12:34:22,MaitoGai%20,EUNE
2024/01/19 12:34:22,dudus90210,EUNE
2024/01/19 12:34:22,Polirx,2504
2024/01/19 12:34:22,BoosTed%20SKT%20T1%20,EUNE
2024/01/19 12:34:22,Rdehor,EUNE
2024/01/19 12:34:22,Graylon,2544
2024/01/19 12:34:22,%C3%80nalny%20%C3%80nalityk,EUNE
2024/01/19 12:34:22,Emeritos,EUNE
2024/01/19 12:34:22,azmon6,4032
2024/01/19 12:34:22,Daj%20sobie,EUNE
2024/01/19 12:34:22,Albanian%20Faker,EUNE
2024/01/19 12:34:22,Budget%20Ca%C3%9Es,EUNE
2024/01/19 12:34:22,Nejlep%C5%A1%C3%ADCoZn%C3%A1m,EUNE
2024/01/19 12:34:22,Professor%20CHO,EUNE
2024/01/19 12:34:22,ektomorf,EUNE
2024/01/19 12:34:22,Harm,EUNE
2024/01/19 12:34:22,Sheven,77777
2024/01/19 12:34:22,XerathLane,EUNE
2024/01/19 12:34:22,Dashing2Diamond,EUNE
2024/01/19 12:34:22,Chellon,5960
2024/01/19 12:34:22,35%E7%A5%9E18,hada
2024/01/19 12:34:22,Ekhanoceyal,EUNE
2024/01/19 12:34:22,Eessolch,EUNE
2024/01/19 12:34:22,vilm%C3%A1sz,EUNE
2024/01/19 12:34:22,%20Kits%C3%BBne%20no%20hi,EUNE
2024/01/19 12:34:22,12031312,EUNE
2024/01/19 12:34:22,SelenaArmst,EUNE
2024/01/19 12:34:22,Deuce102,EUNE
2024/01/19 12:34:22,Retek,any%C3%A1d
2024/01/19 12:34:22,Silakus,EUNE
2024/01/19 12:34:22,MePlasma,FaZe1
2024/01/19 12:34:22,zyb333,666
2024/01/19 12:34:22,buskvercx,EUNE
2024/01/19 12:34:22,Trevane9,2115
2024/01/19 12:34:22,Refiks,5H34
2024/01/19 12:34:22,1v2Enjoyer,NERFS
2024/01/19 12:34:22,suczen,EUNE
2024/01/19 12:34:22,Narcomancheros,EUNE
2024/01/19 12:34:22,Kiepk0,1312
2024/01/19 12:34:22,VodaVoda,4444
2024/01/19 12:34:22,Blu%20Tao,EUNE
2024/01/19 12:34:22,MrKiller312,EUNE
2024/01/19 12:34:22,rufusix,1947
2024/01/19 12:34:22,MrPepelis,EUNE
2024/01/19 12:34:22,Ayooo,EUNE
2024/01/19 12:34:22,ZkaIII,EUNE
2024/01/19 12:34:22,Slovke%2011080,bako
2024/01/19 12:34:22,SpukiSpooky,EUNE
2024/01/19 12:34:22,Ne%C5%A1kicim,2212
2024/01/19 12:34:22,Zedgurami,3304
2024/01/19 12:34:22,RivensGodHimself,EUNE
2024/01/19 12:34:22,Phthonus,4341
2024/01/19 12:34:22,JoseMiguge,EUNE
2024/01/19 12:34:22,lknowUrSecret,EUNE
2024/01/19 12:34:22,Warrenku,420
2024/01/19 12:34:22,DYZ1O%20MARZYCIEL,7744
2024/01/19 12:34:22,brain%20issue,papi
2024/01/19 12:34:22,esport%20tomu%C5%9B,001
2024/01/19 12:34:22,prod%20by%20Laj,0001
2024/01/19 12:34:22,E1FeeL,EUNE
2024/01/19 12:34:22,Y%C3%A0suicide,EUNE
2024/01/19 12:34:22,boa%20konsiciel,EUNE
2024/01/19 12:34:22,FishyFish,EUNE
2024/01/19 12:34:22,Nelyn,EUNE
2024/01/19 12:34:22,Ekk%C3%B8%20in%20Paris,EUNE
